Année,Marque,Count
2012,Audi,1
2014,Mazda,1
2014,Renault,1
2015,Audi,1
2015,Dacia,1
2015,Mercedes,2
2015,Peugeot,2
2015,Renault,2
2015,Volkswagen,3
2016,Audi,3
2016,BMW,1
2016,Citroën,5
2016,DS,2
2016,Dacia,2
2016,Fiat,2
2016,Ford,2
2016,Mercedes,1
2016,Mini,5
2016,Nissan,1
2016,Opel,2
2016,Peugeot,7
2016,Renault,16
2016,Suzuki,1
2017,Audi,6
2017,BMW,7
2017,Citroën,15
2017,DS,5
2017,Dacia,3
2017,Fiat,6
2017,Ford,2
2017,Hyundai,1
2017,Jeep,2
2017,Kia,1
2017,Lexus,1
2017,Mazda,1
2017,Mercedes,3
2017,Nissan,2
2017,Peugeot,25
2017,Renault,33
2017,Suzuki,1
2017,Tesla,1
2017,Toyota,3
2017,Volkswagen,5
2018,Audi,5
2018,BMW,4
2018,Citroën,30
2018,DS,9
2018,Dacia,2
2018,Fiat,5
2018,Ford,5
2018,Hyundai,3
2018,Infiniti,1
2018,Jeep,5
2018,Kia,5
2018,Lexus,1
2018,Mazda,1
2018,Mercedes,3
2018,Mini,1
2018,Nissan,5
2018,Opel,6
2018,Peugeot,71
2018,Renault,23
2018,Seat,4
2018,Skoda,3
2018,Suzuki,1
2018,Toyota,2
2018,Volkswagen,12
2019,Alfa,1
2019,Audi,7
2019,BMW,5
2019,Citroën,46
2019,DS,5
2019,Dacia,9
2019,Fiat,7
2019,Ford,7
2019,Honda,1
2019,Hyundai,1
2019,Jeep,2
2019,Kia,3
2019,Land,3
2019,Lexus,1
2019,Mercedes,5
2019,Mini,4
2019,Nissan,14
2019,Opel,5
2019,Peugeot,103
2019,Renault,32
2019,Seat,1
2019,Skoda,2
2019,Smart,1
2019,Suzuki,1
2019,Toyota,9
2019,Volkswagen,21
2019,Volvo,3
2020,Audi,12
2020,BMW,9
2020,Citroën,41
2020,DS,6
2020,Dacia,9
2020,Fiat,10
2020,Ford,6
2020,Hyundai,3
2020,Jeep,4
2020,Kia,2
2020,Lexus,1
2020,Mercedes,5
2020,Mini,2
2020,Nissan,8
2020,Opel,15
2020,Peugeot,101
2020,Renault,33
2020,Seat,5
2020,Skoda,5
2020,Smart,1
2020,Suzuki,1
2020,Tesla,1
2020,Toyota,6
2020,Volkswagen,9
2020,Volvo,2
2021,Audi,10
2021,BMW,9
2021,Citroën,35
2021,Cupra,7
2021,DS,12
2021,Dacia,13
2021,Fiat,4
2021,Ford,9
2021,Hyundai,14
2021,Jeep,2
2021,Kia,6
2021,Lexus,2
2021,Lynk&Co,2
2021,MG,2
2021,Mercedes,6
2021,Mini,5
2021,Nissan,10
2021,Opel,15
2021,Peugeot,71
2021,Renault,36
2021,Seat,3
2021,Skoda,3
2021,Suzuki,1
2021,Tesla,2
2021,Toyota,10
2021,Volkswagen,18
2021,Volvo,1
2022,Audi,5
2022,BMW,12
2022,BYD,6
2022,Citroën,33
2022,Cupra,14
2022,DS,11
2022,Dacia,14
2022,Fiat,10
2022,Ford,7
2022,Hyundai,4
2022,Jeep,6
2022,Kia,11
2022,Lynk&Co,2
2022,MG,2
2022,Mercedes,2
2022,Mini,4
2022,Mitsubishi,1
2022,Nissan,10
2022,Opel,9
2022,Peugeot,57
2022,Renault,27
2022,Seat,3
2022,Skoda,5
2022,Suzuki,2
2022,Tesla,2
2022,Toyota,14
2022,Volkswagen,16
2022,Volvo,3
2023,Audi,11
2023,BMW,21
2023,Citroën,84
2023,Cupra,4
2023,DS,11
2023,Dacia,24
2023,Fiat,5
2023,Ford,5
2023,Honda,1
2023,Hyundai,5
2023,Jeep,2
2023,Kia,6
2023,Lexus,1
2023,Lynk&Co,1
2023,MG,9
2023,Mercedes,13
2023,Mini,5
2023,Mitsubishi,2
2023,Nissan,8
2023,Opel,24
2023,Peugeot,99
2023,Renault,33
2023,Seat,7
2023,Skoda,43
2023,Tesla,2
2023,Toyota,22
2023,Volkswagen,37
2023,Volvo,1
2024,Audi,8
2024,Citroën,38
2024,Dacia,1
2024,Fiat,3
2024,Ford,2
2024,Hyundai,1
2024,Jeep,1
2024,Kia,3
2024,Mazda,1
2024,Mercedes,8
2024,Nissan,2
2024,Opel,2
2024,Peugeot,119
2024,Renault,8
2024,Seat,1
2024,Suzuki,1
2024,Tesla,2
2024,Toyota,2
2024,Volkswagen,18
2024,Volvo,1
